separation,propensity,length,PredSS_r1_-1,PredSS_r1,PredSS_r1_1,PredSS_r2_-1,PredSS_r2,PredSS_freq_central_H,PredSS_freq_central_E,PredSS_freq_central_C,PredCN_freq_central_0,PredRCH_freq_central_0,PredRCH_freq_central_1,PredSA_freq_central_0,PredSA_freq_central_4,PredRCH_r1_-1,PredRCH_r1,PredRCH_r1_1,PredRCH_r2_-1,PredRCH_r2,PredRCH_r2_1,PredCN_r1_-1,PredCN_r1,PredCN_r1_1,PredCN_r2,PredSA_r1,PredSA_r2_-1,PredSA_r2,PredSA_r2_1,PredSS_freq_global_H,PredCN_freq_global_0,PredRCH_freq_global_0,PredRCH_freq_global_4,PredSA_freq_global_0,AA_freq_central_A,AA_freq_central_D,AA_freq_central_E,AA_freq_central_I,AA_freq_central_F,PSSM_r1_-4_A,PSSM_r1_-4_N,PSSM_r1_0_D,PSSM_r1_1_W,PSSM_r2_0_A,PSSM_central_-2_A,PSSM_central_-2_T,PSSM_central_0_H,PSSM_central_2_D,PSSM_central_2_V
301,0.155025238316715,456,E,C,C,C,C,0.32,0.12,0.56,0.167,0.26,0.103,0.36,0.22,0,3,3,4,4,4,2,3,3,4,1,0,0,0,0.364,0.167,0.252,0.206,0.351,0.04,0.06,0.067,0.073,0.063,-1,1,-8,-9,4,-2,-3,2,2,0
78,0.569305889031935,106,E,E,E,H,C,0.169,0.351,0.481,0.247,0.39,0.143,0.182,0.325,3,3,3,0,0,X,4,4,4,3,0,4,4,X,0.123,0.264,0.377,0.0,0.16,0.091,0.065,0.091,0.065,0.039,-2,1,-4,-5,6,-1,-1,-5,-1,-4
30,1.11178457528051,427,H,H,H,H,H,0.448,0.138,0.414,0.034,0.276,0.103,0.31,0.138,4,4,4,3,3,1,4,4,4,3,0,0,0,3,0.321,0.068,0.23,0.185,0.344,0.172,0.069,0.0,0.103,0.034,7,-5,-6,-6,-3,3,-1,-6,-6,4
27,-0.370221374904469,243,H,H,H,C,C,0.231,0.231,0.538,0.077,0.038,0.154,0.269,0.077,0,3,2,3,0,3,0,3,2,1,0,4,3,1,0.354,0.243,0.263,0.181,0.222,0.115,0.038,0.077,0.0,0.0,2,0,-4,-2,-2,-2,-1,-1,6,-3
76,-1.06035668417644,207,H,H,H,H,H,0.387,0.173,0.44,0.173,0.187,0.107,0.333,0.187,3,4,4,3,0,0,3,3,3,0,3,0,3,4,0.338,0.155,0.184,0.184,0.324,0.067,0.093,0.04,0.107,0.013,-3,-5,0,-3,0,0,0,-3,8,-5
84,1.35659494835128,132,E,E,E,C,C,0.205,0.289,0.506,0.205,0.313,0.157,0.169,0.373,3,3,3,4,4,4,4,4,3,4,0,1,0,0,0.22,0.235,0.348,0.068,0.167,0.096,0.072,0.036,0.036,0.036,0,0,-4,-1,1,-1,3,-1,-3,1
45,1.01373687802747,104,E,E,E,E,E,0.0,0.455,0.545,0.091,0.273,0.136,0.159,0.182,3,3,3,3,3,2,3,4,3,4,0,2,0,3,0.0,0.125,0.269,0.0,0.163,0.068,0.045,0.136,0.091,0.023,0,-3,-7,-3,-5,-2,-1,3,-6,5
35,-0.0639871424720709,250,C,C,C,E,E,0.0,0.559,0.441,0.118,0.353,0.088,0.176,0.294,3,3,3,0,2,0,4,3,3,3,3,4,3,3,0.0,0.22,0.384,0.04,0.144,0.029,0.147,0.059,0.029,0.029,-1,0,0,0,0,1,0,-3,1,-2
139,0.00338676056349828,517,C,C,C,C,C,0.428,0.116,0.457,0.246,0.217,0.145,0.225,0.217,3,3,3,3,1,0,4,4,3,1,1,1,2,4,0.321,0.25,0.269,0.12,0.174,0.065,0.087,0.022,0.036,0.101,-4,-10,-7,-2,-1,1,-1,-4,0,-2
50,0.275783804396222,159,C,E,E,E,E,0.49,0.163,0.347,0.163,0.143,0.224,0.388,0.143,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0.384,0.189,0.195,0.208,0.321,0.184,0.102,0.041,0.061,0.041,1,-3,-3,-3,1,-2,0,-4,1,-3
70,0.053514712056863,285,C,C,C,E,E,0.072,0.464,0.464,0.058,0.188,0.116,0.217,0.174,0,3,4,3,1,3,1,4,4,1,1,0,3,3,0.018,0.105,0.204,0.067,0.253,0.043,0.043,0.072,0.014,0.058,0,0,-4,-4,-1,0,0,-3,1,-3
88,-0.535980866669175,155,C,C,C,C,C,0.0,0.46,0.54,0.218,0.276,0.195,0.161,0.31,0,3,3,0,0,3,1,3,3,1,0,4,3,0,0.0,0.226,0.323,0.006,0.161,0.08,0.057,0.069,0.046,0.046,5,-3,-2,-3,0,-1,-3,-2,-3,0
46,-0.453080027406847,91,C,C,C,C,C,0.467,0.0,0.533,0.156,0.289,0.178,0.111,0.244,0,0,0,2,0,2,0,0,0,1,4,1,4,3,0.538,0.176,0.308,0.011,0.143,0.044,0.067,0.089,0.067,0.022,0,0,-2,5,-1,-2,-4,2,-10,-8
162,0.734121565165707,620,E,E,E,E,E,0.0,0.422,0.578,0.199,0.323,0.068,0.168,0.311,3,3,4,3,3,3,4,4,4,4,0,3,1,1,0.068,0.145,0.274,0.144,0.177,0.068,0.068,0.075,0.062,0.043,0,1,-4,-3,3,-1,1,2,1,0
13,0.0235861604549471,141,X,C,E,E,E,0.0,0.583,0.417,0.0,0.167,0.083,0.583,0.083,X,3,3,3,3,4,X,4,4,4,4,0,0,0,0.234,0.106,0.206,0.248,0.326,0.0,0.0,0.0,0.25,0.0,0,0,-5,-6,5,1,-2,-2,-1,-1
59,-0.598922433341412,384,C,C,H,C,C,0.828,0.0,0.172,0.414,0.328,0.224,0.155,0.259,0,3,2,3,0,3,0,3,2,1,4,1,3,2,0.615,0.281,0.253,0.169,0.214,0.103,0.086,0.069,0.069,0.034,0,0,-1,-4,-1,-3,-2,2,-4,-3
150,-0.760335435085317,342,E,E,E,C,C,0.148,0.282,0.57,0.094,0.208,0.128,0.295,0.134,3,1,1,4,4,4,3,2,2,4,3,0,0,3,0.237,0.117,0.228,0.216,0.307,0.06,0.074,0.081,0.101,0.02,1,3,0,-4,-3,-1,-2,-2,-3,1
168,0.0224579343750499,954,E,E,E,C,C,0.042,0.275,0.683,0.168,0.228,0.036,0.03,0.341,3,3,3,0,0,3,3,3,3,3,1,4,3,2,0.181,0.155,0.239,0.138,0.156,0.126,0.06,0.054,0.03,0.03,1,0,-1,-3,-1,-1,-2,2,-3,4
115,0.0224579343750499,176,H,H,H,H,H,0.763,0.018,0.219,0.289,0.298,0.14,0.263,0.228,1,3,1,3,1,3,1,3,1,1,0,0,3,3,0.739,0.284,0.341,0.085,0.244,0.079,0.035,0.088,0.061,0.053,-4,-6,-5,-4,-2,-1,-1,-2,0,-1
30,-0.593125221569842,161,C,C,C,C,H,0.0,0.31,0.69,0.172,0.586,0.172,0.0,0.414,3,0,0,1,1,0,3,1,1,2,4,3,3,3,0.242,0.05,0.255,0.199,0.236,0.0,0.069,0.069,0.0,0.069,-4,-1,-1,-5,-2,-1,-1,-7,0,-3
1002,-0.212505703376357,1244,C,C,C,C,C,0.237,0.112,0.651,0.154,0.202,0.113,0.259,0.221,3,3,3,4,4,4,3,3,3,4,3,0,0,1,0.211,0.16,0.198,0.27,0.26,0.086,0.059,0.066,0.045,0.029,-3,-4,-4,-5,-2,1,0,-1,-5,-5
34,-0.245311029163982,159,C,C,C,C,C,0.364,0.0,0.636,0.121,0.182,0.152,0.182,0.091,3,3,4,1,1,3,3,4,4,1,1,3,3,1,0.302,0.434,0.428,0.063,0.094,0.061,0.061,0.03,0.061,0.03,-1,0,-4,-5,-2,-3,-3,-4,-6,-3
369,-0.098348783534432,764,H,H,H,C,C,0.424,0.101,0.476,0.13,0.185,0.133,0.321,0.155,1,3,3,1,0,0,1,3,3,1,0,3,3,4,0.365,0.161,0.223,0.226,0.313,0.073,0.052,0.065,0.068,0.062,-3,-1,-5,1,0,-3,-5,-5,-2,-5
85,0.118216343339941,642,C,C,H,H,H,0.345,0.036,0.619,0.143,0.143,0.071,0.345,0.119,4,4,4,3,1,0,4,4,4,1,0,0,3,4,0.358,0.187,0.212,0.235,0.274,0.107,0.012,0.071,0.048,0.083,-2,-3,-4,-6,-1,3,1,-1,0,-2
25,-0.765311102421864,172,H,H,H,H,H,0.708,0.0,0.292,0.083,0.125,0.083,0.375,0.125,1,0,3,3,1,2,1,0,3,1,4,0,3,3,0.744,0.25,0.279,0.11,0.262,0.083,0.0,0.042,0.0,0.0,0,1,5,3,-1,0,1,-3,0,-3
183,-0.0744581203308277,238,C,E,E,H,H,0.275,0.291,0.434,0.247,0.297,0.165,0.181,0.264,3,3,3,1,3,3,3,4,4,3,0,3,0,1,0.282,0.223,0.282,0.097,0.202,0.176,0.038,0.077,0.049,0.044,1,0,-2,2,-3,4,-2,0,2,-2
42,-0.0469036221376437,126,E,E,E,C,C,0.0,0.756,0.244,0.195,0.268,0.22,0.195,0.293,2,3,0,0,1,1,3,4,2,1,0,4,4,3,0.294,0.23,0.27,0.04,0.19,0.122,0.122,0.098,0.024,0.0,-3,-5,-4,-4,1,1,1,1,1,-2
33,0.752515289393147,205,C,C,C,H,H,0.562,0.0,0.438,0.156,0.312,0.188,0.25,0.094,3,4,4,3,3,3,4,4,4,3,0,1,0,4,0.346,0.161,0.254,0.122,0.283,0.094,0.062,0.0,0.094,0.0,1,-3,-8,-7,0,-4,1,-5,-7,4
53,0.717153859322017,1244,E,E,E,C,H,0.0,0.288,0.712,0.058,0.077,0.058,0.308,0.154,4,3,3,3,3,3,4,4,3,4,0,1,1,0,0.211,0.16,0.198,0.27,0.26,0.038,0.038,0.038,0.019,0.0,-1,-2,-7,-4,-3,-1,2,-2,-3,-4
23,-0.378063549022861,164,C,C,C,H,H,0.909,0.0,0.091,0.136,0.182,0.182,0.318,0.045,1,3,0,3,1,3,1,3,0,1,1,2,3,0,0.762,0.134,0.213,0.079,0.256,0.136,0.045,0.136,0.091,0.091,-4,-7,-8,-5,0,3,0,-6,3,-4
62,1.2402254703743,154,H,H,H,H,H,0.918,0.0,0.082,0.459,0.426,0.18,0.18,0.279,1,3,1,0,3,3,0,3,2,3,0,3,0,0,0.896,0.435,0.344,0.0,0.247,0.016,0.066,0.148,0.098,0.0,-1,0,-4,-3,-2,-1,2,-3,-4,-2
112,-0.162732497591036,242,H,H,H,H,H,0.55,0.126,0.324,0.126,0.216,0.144,0.297,0.135,0,1,3,1,3,2,0,1,3,3,3,3,0,2,0.479,0.149,0.202,0.153,0.289,0.225,0.054,0.081,0.099,0.027,0,-1,-1,-4,-4,1,-1,-5,2,0
45,1.41058573887302,145,C,C,C,E,E,0.0,0.568,0.432,0.159,0.318,0.182,0.136,0.273,3,3,3,3,2,3,3,3,3,3,1,0,3,0,0.262,0.124,0.248,0.152,0.31,0.136,0.068,0.023,0.045,0.0,2,-3,-4,-5,0,1,-1,-2,-4,-5
21,-0.51377438296557,84,H,H,C,C,C,0.8,0.0,0.2,0.45,0.45,0.2,0.2,0.45,3,0,0,0,0,3,3,0,0,1,3,4,4,1,0.786,0.298,0.321,0.06,0.214,0.05,0.0,0.15,0.05,0.05,0,0,2,-4,-2,0,0,0,3,-3
82,0.166803478113183,711,E,E,E,C,C,0.235,0.272,0.494,0.284,0.284,0.173,0.247,0.358,3,3,3,4,1,0,3,4,3,4,1,1,3,3,0.387,0.405,0.342,0.006,0.139,0.099,0.062,0.062,0.049,0.086,4,-2,-4,11,-1,-2,-1,-1,-4,1
23,0.569305889031935,128,H,C,C,H,H,0.591,0.0,0.409,0.227,0.273,0.273,0.091,0.227,0,3,3,3,3,3,0,3,3,3,1,1,3,0,0.25,0.203,0.297,0.0,0.133,0.182,0.0,0.045,0.0,0.0,1,-1,-8,-7,1,1,2,-1,-8,-6
18,-0.28742697552208,123,E,E,E,E,E,0.0,0.294,0.706,0.118,0.176,0.176,0.176,0.0,2,1,3,3,3,3,3,2,2,4,3,0,0,2,0.398,0.146,0.244,0.065,0.244,0.0,0.118,0.059,0.059,0.059,-2,-2,0,-4,-1,-7,-7,6,-5,-6
25,-0.798622390792186,477,C,C,C,E,E,0.458,0.208,0.333,0.083,0.167,0.083,0.292,0.042,4,4,4,4,4,4,4,4,4,4,3,1,0,1,0.419,0.201,0.243,0.176,0.252,0.083,0.042,0.083,0.083,0.0,1,8,5,4,0,2,-2,-4,3,-3
53,-0.0744581203308277,170,C,C,E,H,H,0.154,0.385,0.462,0.038,0.135,0.154,0.404,0.115,3,3,3,2,3,2,4,4,4,3,1,3,0,1,0.3,0.1,0.247,0.106,0.265,0.096,0.077,0.058,0.019,0.038,1,0,-4,5,0,-4,5,-6,-3,-5
43,-0.510977207800183,217,E,C,C,E,E,0.095,0.381,0.524,0.214,0.357,0.214,0.143,0.238,0,0,1,4,4,4,0,0,2,4,4,1,0,0,0.101,0.318,0.359,0.028,0.129,0.024,0.119,0.048,0.048,0.119,0,-3,1,-4,2,-2,0,0,-3,3
33,0.702279193875034,119,E,E,E,C,C,0.0,0.188,0.812,0.312,0.406,0.188,0.0,0.312,3,3,3,3,3,X,3,3,4,4,2,2,4,X,0.193,0.336,0.361,0.025,0.05,0.031,0.094,0.094,0.031,0.0,0,0,-3,-6,-4,0,-2,-1,-2,-2
16,0.49415910083227,62,E,E,E,C,C,0.0,0.067,0.933,0.267,0.6,0.2,0.0,0.467,3,2,0,0,3,1,3,2,1,3,3,4,1,3,0.0,0.371,0.484,0.0,0.032,0.067,0.0,0.067,0.067,0.0,-2,7,-1,-2,-1,-1,-1,0,-2,2
124,0.275783804396222,412,H,C,C,H,H,0.585,0.081,0.333,0.089,0.171,0.114,0.211,0.146,4,3,3,0,3,3,4,4,4,3,0,3,1,0,0.376,0.073,0.126,0.413,0.398,0.179,0.041,0.122,0.073,0.033,-1,-5,-3,-6,5,-3,-3,-5,-6,0
67,0.275783804396222,110,C,C,H,C,H,0.652,0.0,0.348,0.258,0.303,0.152,0.152,0.212,0,3,3,3,3,3,1,3,3,3,3,3,0,2,0.618,0.291,0.318,0.0,0.155,0.106,0.045,0.03,0.045,0.015,-1,-1,0,-3,-2,0,0,-5,2,-2
57,1.35659494835128,194,E,E,E,C,C,0.161,0.286,0.554,0.071,0.25,0.161,0.286,0.143,3,3,4,3,1,0,3,4,4,1,0,1,4,4,0.196,0.149,0.263,0.113,0.258,0.054,0.018,0.125,0.071,0.036,0,2,-8,-4,1,1,-2,-7,2,-4
12,-0.35839073172442,250,C,C,C,H,H,0.364,0.0,0.636,0.0,0.182,0.0,0.091,0.0,4,4,4,3,2,3,4,4,3,2,0,0,3,0,0.476,0.128,0.204,0.18,0.336,0.273,0.0,0.091,0.0,0.0,-5,-4,-5,1,2,-1,3,-2,-3,-1
43,-0.261888415190075,129,C,E,E,H,H,0.071,0.452,0.476,0.071,0.214,0.143,0.19,0.167,0,1,3,1,3,3,1,3,4,3,3,3,0,1,0.109,0.395,0.442,0.0,0.132,0.071,0.024,0.071,0.024,0.095,0,-2,-2,-3,-4,-1,0,1,0,-1
537,-0.11892209966721,739,H,H,H,H,H,0.412,0.121,0.466,0.188,0.233,0.123,0.278,0.228,1,3,3,0,3,3,0,2,3,3,3,3,1,0,0.411,0.18,0.233,0.135,0.271,0.114,0.073,0.052,0.058,0.028,-3,-2,-2,-4,-2,0,-3,-3,-1,-2
67,-0.139595169751174,130,C,C,C,H,H,0.455,0.167,0.379,0.394,0.303,0.136,0.227,0.348,0,0,0,1,0,3,0,0,0,0,4,3,3,0,0.431,0.4,0.331,0.015,0.223,0.136,0.0,0.106,0.015,0.061,-1,3,-1,-3,1,2,0,-1,-1,-4
405,-0.0533836739256299,620,C,C,C,E,E,0.02,0.416,0.564,0.146,0.272,0.082,0.171,0.233,0,0,2,4,4,4,1,1,2,4,3,0,0,0,0.068,0.145,0.274,0.144,0.177,0.067,0.072,0.064,0.067,0.045,-1,-4,0,4,-1,-1,0,0,-1,0
96,-0.537431306114032,764,E,E,E,C,C,0.379,0.095,0.526,0.158,0.242,0.147,0.253,0.221,3,3,3,3,0,0,4,4,4,1,1,3,3,3,0.365,0.161,0.223,0.226,0.313,0.095,0.063,0.063,0.053,0.042,1,-2,-7,-6,1,-1,-1,-2,-6,5
51,-0.168446050654973,222,H,H,H,E,C,0.24,0.48,0.28,0.2,0.24,0.16,0.28,0.22,1,0,0,3,3,1,0,0,0,4,4,3,1,3,0.275,0.198,0.261,0.014,0.171,0.14,0.06,0.04,0.08,0.04,1,1,0,-3,-2,-3,-2,-2,-2,-2
738,-0.0133210157374004,954,E,E,E,H,H,0.224,0.178,0.598,0.172,0.235,0.094,0.14,0.261,1,3,3,4,4,4,3,4,3,4,0,0,0,3,0.181,0.155,0.239,0.138,0.156,0.11,0.056,0.073,0.042,0.041,1,1,-4,-2,2,1,-1,-4,-1,0
78,0.177533017880865,108,E,E,E,E,E,0.299,0.312,0.39,0.273,0.286,0.234,0.221,0.26,3,2,3,2,3,3,4,2,4,4,3,3,0,2,0.213,0.296,0.352,0.019,0.185,0.026,0.052,0.065,0.104,0.026,0,0,-3,-4,-2,-1,3,-3,-1,5
121,0.394389014016248,466,E,E,E,E,E,0.2,0.192,0.608,0.275,0.208,0.108,0.3,0.308,4,4,3,3,3,3,4,4,4,4,0,0,0,0,0.251,0.195,0.191,0.223,0.33,0.092,0.033,0.1,0.092,0.033,-2,-4,-4,-5,5,-2,-2,-4,-3,-4
94,-0.0502330882171169,116,E,E,E,C,C,0.419,0.204,0.376,0.237,0.226,0.151,0.344,0.258,3,3,3,0,0,0,4,4,4,0,0,4,4,4,0.414,0.233,0.267,0.069,0.353,0.151,0.054,0.065,0.043,0.032,-2,1,-5,-2,-2,5,1,3,-4,-3
42,-0.380502019767479,88,H,H,H,C,C,0.756,0.0,0.244,0.415,0.341,0.22,0.195,0.317,3,0,0,0,0,2,3,0,1,3,3,3,3,3,0.784,0.455,0.398,0.0,0.125,0.098,0.049,0.122,0.073,0.049,0,-1,-1,-4,-2,0,0,-2,-2,-1
8,-0.770233121100733,206,C,C,C,H,H,0.857,0.0,0.143,0.286,0.429,0.143,0.286,0.143,3,3,0,0,1,3,4,4,1,2,1,3,3,1,0.718,0.291,0.369,0.049,0.238,0.0,0.0,0.143,0.0,0.143,-1,-4,-5,-3,2,-1,2,-4,0,0
21,0.107665884093466,156,C,C,C,E,C,0.0,0.55,0.45,0.2,0.3,0.15,0.2,0.25,1,0,2,0,0,0,2,1,3,1,4,3,4,4,0.0,0.295,0.391,0.013,0.147,0.1,0.05,0.05,0.0,0.1,-2,-4,-1,-5,1,4,-2,-1,1,-1
36,1.35659494835128,169,C,C,C,E,E,0.486,0.143,0.371,0.029,0.086,0.057,0.486,0.057,3,3,3,3,3,3,3,4,3,4,0,0,0,3,0.355,0.148,0.266,0.172,0.237,0.114,0.029,0.0,0.057,0.0,-2,-5,-5,2,-4,2,-2,-2,3,-3
285,-0.0469036221376437,711,C,C,H,C,E,0.532,0.053,0.415,0.472,0.366,0.211,0.088,0.43,0,3,2,0,3,3,0,3,1,4,4,3,0,0,0.387,0.405,0.342,0.006,0.139,0.07,0.046,0.102,0.063,0.056,-2,3,-2,-1,-1,-1,-1,-3,3,-3
18,-0.601614815050865,517,C,C,C,H,H,0.235,0.0,0.765,0.529,0.353,0.118,0.0,0.706,3,3,1,2,1,0,3,3,0,1,3,3,4,3,0.321,0.25,0.269,0.12,0.174,0.0,0.176,0.118,0.0,0.176,-2,1,0,-3,0,1,0,-5,-4,-5
61,1.16304154068476,158,E,E,E,E,E,0.0,0.533,0.467,0.05,0.167,0.1,0.4,0.167,1,3,3,3,3,0,3,4,4,3,0,0,0,3,0.025,0.127,0.285,0.095,0.329,0.017,0.05,0.067,0.083,0.067,1,0,-5,-1,0,0,-1,-5,0,-4
73,-0.212505703376357,231,C,C,C,C,H,0.125,0.264,0.611,0.333,0.306,0.167,0.264,0.347,3,3,3,3,3,3,3,4,4,4,3,1,0,0,0.312,0.199,0.247,0.078,0.294,0.111,0.111,0.014,0.042,0.028,1,-1,-1,-5,-6,4,-4,-6,0,0
43,-0.820131410775656,237,C,C,C,C,C,0.0,0.548,0.452,0.167,0.214,0.143,0.167,0.214,3,0,0,0,0,1,3,3,1,0,4,3,4,3,0.0,0.19,0.249,0.114,0.198,0.095,0.119,0.0,0.048,0.0,0,-4,2,-1,-2,-2,0,1,0,-6
147,-0.264777000864015,1244,H,H,H,C,C,0.164,0.212,0.623,0.089,0.137,0.089,0.288,0.192,3,3,4,3,3,3,4,4,3,3,0,4,3,1,0.211,0.16,0.198,0.27,0.26,0.096,0.082,0.048,0.027,0.034,0,-1,-4,-3,-4,-1,5,-1,8,-5
43,-0.0744581203308277,120,C,C,C,C,C,0.357,0.071,0.571,0.429,0.381,0.167,0.119,0.333,3,0,0,1,3,1,3,0,1,3,3,3,0,4,0.292,0.417,0.3,0.033,0.2,0.024,0.119,0.119,0.071,0.0,-2,-3,0,-2,-2,-2,-1,-2,1,-2
131,1.28178614827365,382,E,E,E,C,H,0.185,0.2,0.615,0.208,0.308,0.138,0.169,0.262,3,3,3,3,1,0,4,4,4,1,0,0,3,3,0.209,0.152,0.264,0.141,0.199,0.138,0.069,0.031,0.015,0.031,0,0,-3,-1,-1,1,-1,-2,-3,-8
7,0.0339726964393725,86,C,C,C,C,H,0.0,0.0,1.0,0.5,0.5,0.167,0.0,0.667,0,1,0,3,0,1,0,0,3,1,4,1,3,3,0.558,0.314,0.36,0.0,0.151,0.0,0.0,0.167,0.0,0.0,3,-1,-3,-5,1,-2,-2,-3,-4,-2
113,-0.186642774533391,212,E,E,E,E,C,0.0,0.509,0.491,0.321,0.411,0.089,0.125,0.402,3,3,3,3,3,0,4,3,4,3,3,1,3,4,0.0,0.302,0.377,0.019,0.137,0.036,0.045,0.062,0.045,0.08,1,-3,-2,0,-1,-2,-1,0,-1,1
9,-0.381820596156714,241,H,H,H,H,C,1.0,0.0,0.0,0.0,0.0,0.125,0.375,0.125,4,4,4,3,0,0,4,4,4,1,0,1,4,4,0.274,0.141,0.183,0.22,0.303,0.0,0.25,0.0,0.0,0.0,-1,-2,-6,-4,0,3,1,1,-1,0
217,-0.259059218447052,546,C,C,C,H,H,0.31,0.097,0.593,0.097,0.199,0.12,0.366,0.176,4,4,3,1,0,2,4,4,4,0,0,3,4,2,0.333,0.09,0.172,0.374,0.407,0.157,0.065,0.042,0.083,0.023,-3,-6,-3,5,1,-3,-3,-1,0,-2
632,0.5402079338809,739,H,H,C,H,H,0.418,0.103,0.479,0.193,0.231,0.13,0.271,0.235,0,3,3,3,0,3,0,3,3,0,1,3,4,1,0.411,0.18,0.233,0.135,0.271,0.114,0.073,0.055,0.06,0.024,-1,-2,-6,-5,3,-2,-1,-2,2,-2
36,-0.215461546723741,265,E,E,E,C,C,0.286,0.229,0.486,0.171,0.257,0.143,0.114,0.143,3,3,3,3,3,3,3,3,3,3,0,1,3,2,0.226,0.121,0.219,0.238,0.313,0.171,0.057,0.114,0.057,0.057,-4,0,-6,-3,-1,-3,-3,-1,-2,-7
100,1.16304154068476,610,H,H,H,C,C,0.424,0.03,0.545,0.192,0.263,0.222,0.202,0.212,1,3,0,3,3,3,0,3,0,4,3,0,1,1,0.334,0.164,0.246,0.139,0.221,0.04,0.101,0.051,0.03,0.091,-1,-2,-2,-6,-4,0,2,2,-3,4
47,-0.755462394916418,134,H,H,H,H,H,0.935,0.0,0.065,0.348,0.239,0.196,0.326,0.217,1,0,3,3,3,2,2,0,3,3,3,3,3,4,0.784,0.336,0.306,0.0,0.224,0.152,0.065,0.022,0.043,0.0,-1,3,2,-2,-1,-2,0,-4,-1,-2
